No.	Time	Source	Destination	Protocol	Length	Info
1544	12:41:20.2631971Z	192.168.1.12	192.168.1.17	TCP	74	46720 → 8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4002348727 TSecr=0 WS=1024
1548	12:41:20.5136221Z	192.168.1.12	192.168.1.17	TCP	74	46736 → 8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4002348978 TSecr=0 WS=1024
1562	12:41:20.6769332Z	192.168.1.17	192.168.1.12	TCP	62	8080 → 46720 [SYN, ACK] Seq=0 Ack=1 Win=65534 Len=0 MSS=1440 SACK_PERM
1563	12:41:20.6769557Z	192.168.1.12	192.168.1.17	TCP	54	46720 → 8080 [ACK] Seq=1 Ack=1 Win=64240 Len=0
1564	12:41:20.6771114Z	192.168.1.12	192.168.1.17	HTTP	424	GET /stream.h264 HTTP/1.1 
1565	12:41:20.6799909Z	192.168.1.17	192.168.1.12	TCP	62	8080 → 46736 [SYN, ACK] Seq=0 Ack=1 Win=65534 Len=0 MSS=1440 SACK_PERM
1566	12:41:20.6800007Z	192.168.1.12	192.168.1.17	TCP	54	46736 → 8080 [ACK] Seq=1 Ack=1 Win=64240 Len=0
1567	12:41:20.7981243Z	192.168.1.17	192.168.1.12	TCP	281	8080 → 46720 [PSH, ACK] Seq=1 Ack=371 Win=65164 Len=227 [TCP PDU reassembled in 1577]
1568	12:41:20.7981552Z	192.168.1.12	192.168.1.17	TCP	54	46720 → 8080 [ACK] Seq=371 Ack=228 Win=64013 Len=0
1569	12:41:20.7987275Z	192.168.1.17	192.168.1.12	TCP	59	8080 → 46720 [PSH, ACK] Seq=228 Ack=371 Win=65164 Len=5 [TCP PDU reassembled in 1577]
1570	12:41:20.7987409Z	192.168.1.12	192.168.1.17	TCP	54	46720 → 8080 [ACK] Seq=371 Ack=233 Win=64013 Len=0
1571	12:41:20.7988037Z	192.168.1.17	192.168.1.12	TCP	1494	8080 → 46720 [ACK] Seq=233 Ack=371 Win=65164 Len=1440 [TCP PDU reassembled in 1577]
1572	12:41:20.7988119Z	192.168.1.12	192.168.1.17	TCP	54	46720 → 8080 [ACK] Seq=371 Ack=1673 Win=65535 Len=0
1573	12:41:20.7988704Z	192.168.1.17	192.168.1.12	TCP	1494	8080 → 46720 [ACK] Seq=1673 Ack=371 Win=65164 Len=1440 [TCP PDU reassembled in 1577]
1574	12:41:20.7988752Z	192.168.1.12	192.168.1.17	TCP	54	46720 → 8080 [ACK] Seq=371 Ack=3113 Win=65535 Len=0
1575	12:41:20.7989012Z	192.168.1.17	192.168.1.12	TCP	969	8080 → 46720 [PSH, ACK] Seq=3113 Ack=371 Win=65164 Len=915 [TCP PDU reassembled in 1577]
1576	12:41:20.7989013Z	192.168.1.17	192.168.1.12	TCP	56	8080 → 46720 [PSH, ACK] Seq=4028 Ack=371 Win=65164 Len=2 [TCP PDU reassembled in 1577]
1577	12:41:20.7989013Z	192.168.1.17	192.168.1.12	HTTP	59	HTTP/1.1 200 OK  (video/h264)
1578	12:41:20.7989094Z	192.168.1.12	192.168.1.17	TCP	54	46720 → 8080 [ACK] Seq=371 Ack=4028 Win=65535 Len=0
1579	12:41:20.7989153Z	192.168.1.12	192.168.1.17	TCP	54	46720 → 8080 [ACK] Seq=371 Ack=4030 Win=65535 Len=0
1580	12:41:20.7989211Z	192.168.1.12	192.168.1.17	TCP	54	46720 → 8080 [ACK] Seq=371 Ack=4035 Win=65535 Len=0
1581	12:41:20.7989238Z	192.168.1.17	192.168.1.12	TCP	54	8080 → 46720 [FIN, ACK] Seq=4035 Ack=371 Win=65164 Len=0
1582	12:41:20.7990102Z	192.168.1.12	192.168.1.17	TCP	54	46720 → 8080 [FIN, ACK] Seq=371 Ack=4036 Win=65535 Len=0
1586	12:41:20.8082670Z	192.168.1.17	192.168.1.12	TCP	54	8080 → 46720 [ACK] Seq=4036 Ack=372 Win=65163 Len=0
1701	12:41:25.9209919Z	192.168.1.12	192.168.1.17	TCP	54	46736 → 8080 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0
1702	12:41:25.9299167Z	192.168.1.17	192.168.1.12	TCP	54	8080 → 46736 [ACK] Seq=1 Ack=2 Win=65533 Len=0
1703	12:41:25.9304046Z	192.168.1.17	192.168.1.12	TCP	54	8080 → 46736 [FIN, ACK] Seq=1 Ack=2 Win=65533 Len=0
1704	12:41:25.9304275Z	192.168.1.12	192.168.1.17	TCP	54	46736 → 8080 [ACK] Seq=2 Ack=2 Win=64240 Len=0
